pair,block,on_over_off_minus_1,mean_ph0,mean_ph1
il-p1,2,0.00500754,1.118479,1.112906
il-p1,3,0.00308840,1.155757,1.159326
il-p1,4,0.01112338,1.159880,1.147120
il-p1,5,-0.01130812,1.159655,1.146542
il-p1,6,-0.01499974,1.173370,1.191238
il-p1,7,0.00065872,1.084777,1.085492
il-p1,8,0.00017883,1.155943,1.155736
il-p1,9,-0.01688561,1.155655,1.136141
il-p1,10,-0.00217134,1.115908,1.118336
il-p1,11,-0.01449415,1.121577,1.105321
il-p1,12,0.00774200,1.103342,1.094865
il-p1,13,0.00598928,1.070998,1.077412
il-p1,14,-0.00279699,1.139852,1.143049
il-p1,15,0.01590709,1.362641,1.384317
il-p1,16,-0.00629526,1.133616,1.140798
il-p1,17,-0.00462835,1.147830,1.142518
il-p1,18,0.01088628,1.117199,1.105168
il-p1,19,0.01440037,1.098287,1.114103
il-p1,20,-0.00219369,1.090190,1.092587
il-p1,21,-0.00962976,1.142704,1.131700
il-p1,22,0.01064450,1.148870,1.136769
il-p1,23,0.00439849,1.180356,1.185548
il-p1,24,-0.00508982,1.153911,1.159814
il-p1,25,-0.00311957,1.114614,1.111137
il-p1,26,-0.00553514,1.076641,1.082634
il-p1,27,0.00849435,1.139219,1.148896
il-p1,28,-0.01229664,1.095229,1.108864
il-p1,29,0.00148636,1.273321,1.275213
v2a-p1,2,0.01814891,1.134715,1.114488
v2a-p1,3,-0.01370896,1.160574,1.144664
v2a-p1,4,0.01744639,1.156668,1.136834
v2a-p1,5,-0.00573142,1.161609,1.154951
v2a-p1,6,-0.00060849,1.181090,1.181809
v2a-p1,7,0.00629508,1.080240,1.087040
v2a-p1,8,0.00171383,1.153410,1.151436
v2a-p1,9,-0.00672391,1.156785,1.149007
v2a-p1,10,-0.00083809,1.114529,1.115464
v2a-p1,11,0.00250930,1.102275,1.105041
v2a-p1,12,0.00574398,1.100457,1.094172
v2a-p1,13,0.00171299,1.089775,1.091642
v2a-p1,14,0.17231309,1.326970,1.131925
v2a-p1,15,0.10750975,1.144239,1.267256
v2a-p1,16,0.01230634,1.136609,1.122791
v2a-p1,17,0.01906367,1.134548,1.156176
v2a-p1,18,-0.00172571,1.107097,1.109011
